ledger,date,entropy,hhi,max_power_ratio,total_entities,theil_index
bitcoin,2010-08-06,2.2374936514899244,3298.9599999999987,0.49,20,1.444819857502972
bitcoin,2011-06-05,2.7636148066376456,2480.9599999999987,0.44,30,1.4856055702875524
bitcoin,2011-09-06,3.1235499124565207,2036.24,0.306,41,1.548492251546805
bitcoin,2012-02-04,2.749861752168381,2191.679999999999,0.378,24,1.2719949099028007
bitcoin,2012-05-03,2.9338037278840075,1715.8400000000004,0.276,21,1.0109646554243663
bitcoin,2012-07-13,3.4329411485430303,1158.7200000000005,0.19,23,0.7559607377883267
bitcoin,2012-10-25,3.1074361981181995,1666.0799999999997,0.256,30,1.24728674216661
bitcoin,2013-03-15,3.175029527989988,1660.8000000000002,0.296,32,1.264973137278891
bitcoin,2013-07-29,3.819934434786971,1050.6399999999996,0.192,39,1.015784862733208
bitcoin,2013-11-13,2.6909208687522823,2776.7999999999997,0.47,37,1.745713699358657
bitcoin,2014-02-08,2.8885550162339446,3326.8799999999987,0.562,52,1.9490499531865757
bitcoin,2014-05-12,3.0833621733861176,3158.7199999999984,0.55,55,1.8701093881046893
bitcoin,2014-07-15,3.1808506818161755,2508.6399999999985,0.478,39,1.4587639642465835
bitcoin,2014-09-11,3.174107842376643,2102.079999999999,0.4,37,1.4107940109076418
bitcoin,2014-11-07,3.437261217708766,1641.9999999999998,0.324,37,1.2283899907413474
bitcoin,2015-01-09,3.2144837848882584,2359.679999999999,0.456,41,1.4854616942533492
bitcoin,2015-04-25,3.0713738270117967,2519.759999999999,0.474,35,1.4264339528505765
bitcoin,2015-07-18,3.364782324855553,2579.2799999999997,0.49,54,1.6566946648927086
bitcoin,2015-10-15,3.579805705208192,1922.72,0.408,46,1.3473091649716291
bitcoin,2015-12-11,3.5399094187367948,1608.8799999999994,0.344,39,1.2098834130946403
bitcoin,2016-03-09,3.46272321316117,2232.4799999999987,0.446,54,1.5888072143021337
bitcoin,2016-05-17,3.5051672062404617,1672.479999999999,0.338,41,1.283975300307551
bitcoin,2016-07-24,3.64000320180036,1628.2399999999998,0.35,48,1.3481430543507973
bitcoin,2016-10-01,3.4817522485783847,1866.48,0.39,40,1.2755126996035782
bitcoin,2016-11-25,3.6371493964533688,1427.999999999999,0.304,42,1.216589768856407
bitcoin,2017-01-19,3.842593621906445,1062.72,0.242,34,0.8628775895540791
bitcoin,2017-03-10,3.740502960852109,1432.08,0.326,43,1.1684810345027934
bitcoin,2017-04-28,3.898053607989204,1204.5600000000004,0.288,38,0.9356612916771464
bitcoin,2017-06-20,3.924400849547682,1087.0399999999995,0.22,44,1.0640022496672303
bitcoin,2017-08-13,3.972741795271111,1315.1999999999998,0.312,50,1.1583282309433187
bitcoin,2017-10-11,4.051639550856339,992.7199999999992,0.216,46,1.0202588651678588
bitcoin,2017-12-18,4.068738584313083,1192.4,0.29,54,1.1687493684121977
bitcoin,2018-02-24,3.96633352169431,1399.4399999999998,0.324,53,1.2210390158293083
bitcoin,2018-04-08,3.964564093387758,1180.4799999999998,0.258,51,1.183799209243403
bitcoin,2018-05-24,3.941668242435577,1226.1600000000003,0.272,49,1.15966406916373
bitcoin,2018-07-21,4.108704000441424,1148.7199999999996,0.244,54,1.141047452902932
bitcoin,2018-09-06,3.802115603430993,1479.7599999999998,0.282,55,1.3719074745512965
bitcoin,2018-11-09,4.303634986869604,962.3199999999994,0.21,54,1.0059315892564706
bitcoin,2019-01-07,3.946364017746153,1214.08,0.246,42,1.002258525919404
bitcoin,2019-02-26,4.008988143671068,1316.3199999999993,0.312,52,1.1724248898975764
bitcoin,2019-04-30,3.8327746436697794,1616.8799999999992,0.374,44,1.1275126959369044
bitcoin,2019-07-06,4.023989767870115,1108.08,0.246,50,1.1228058432269057
bitcoin,2019-09-01,4.244806467544973,1062.7200000000005,0.21,55,1.0650575502310495
bitcoin,2019-10-18,4.145312198875429,1066.0799999999997,0.202,57,1.1697398046433
bitcoin,2019-11-22,4.052031473088041,1065.44,0.238,50,1.103368814317007
bitcoin,2020-01-20,4.217173882338112,902.0799999999992,0.164,50,0.9889008189544436
bitcoin,2020-03-16,3.994260269345934,1111.359999999999,0.268,40,0.9202692099941938
bitcoin,2020-04-17,3.3525921870278266,1902.96,0.398,31,1.110147382479508
bitcoin,2020-05-18,3.981083887137749,1240.4,0.302,43,1.0017230437514038
bitcoin,2020-06-20,3.821630082008003,1545.9199999999992,0.354,48,1.2222488944209704
bitcoin,2020-07-30,4.413166228027104,781.9199999999994,0.202,51,0.8728519044249673
bitcoin,2020-09-09,4.4294138323440455,792.8799999999999,0.196,50,0.8417872960056484
bitcoin,2020-10-22,3.9793132354945366,1050.56,0.236,41,0.955322316956396
bitcoin,2020-12-01,3.819311329085751,1261.6799999999998,0.282,41,1.066227187267862
bitcoin,2021-01-11,3.916246113432187,1120.08,0.262,44,1.0696546820138957
bitcoin,2021-02-16,4.073757331439991,930.7999999999994,0.216,42,0.9139562097103304
bitcoin,2021-03-20,3.679727485677912,1219.3600000000004,0.246,34,0.9757677926895786
bitcoin,2021-04-23,3.83566716640704,1299.5199999999993,0.294,41,1.0548901847429133
bitcoin,2021-05-25,4.122853199934314,888.8799999999992,0.182,44,0.9264455625212424
bitcoin,2021-06-27,4.103754631641941,925.7599999999994,0.214,42,0.8931636656509383
bitcoin,2021-08-10,3.969458194984404,1141.9999999999998,0.218,47,1.0987288455060469
bitcoin,2021-09-18,3.844752334192186,1218.4799999999989,0.274,40,1.023900213717353
bitcoin,2021-10-23,3.8679185452163463,1233.9999999999995,0.252,49,1.2107834638583883
bitcoin,2021-12-02,3.8015178628869006,1269.4399999999998,0.282,42,1.1026582297750425
bitcoin,2022-01-05,3.842206603169576,1309.4400000000005,0.292,39,1.0003469720138496
bitcoin,2022-02-17,3.6816239271906417,1358.5600000000002,0.26,43,1.2092928706793349
bitcoin,2022-03-28,3.6642029921628296,1485.7600000000002,0.26,45,1.2668305167533365
bitcoin,2022-04-30,4.157731811556834,936.1599999999992,0.218,47,0.9682275190050438
bitcoin,2022-06-05,3.993340260250025,978.3199999999996,0.196,39,0.8955891037208227
bitcoin,2022-07-14,3.9156404574884114,1278.0799999999997,0.278,45,1.0925473465757711
bitcoin,2022-08-27,4.118954812450497,943.7599999999996,0.194,39,0.8085197310257656
bitcoin,2022-10-21,4.091341557735219,1095.200000000001,0.232,49,1.0559184326587256
bitcoin,2022-12-25,3.9516590064478367,1194.799999999999,0.274,42,0.9985883194297356
bitcoin,2023-02-12,4.068358201861654,1044.7999999999993,0.24,44,0.9642186167899258
bitcoin,2023-04-07,3.8805561143274647,1267.9199999999998,0.3,42,1.0478730886326275
bitcoin,2023-06-04,3.784360067891036,1297.5199999999998,0.282,41,1.0904535554219936
bitcoin,2023-07-26,3.808125943462733,1332.48,0.298,34,0.8867687636877878
bitcoin,2023-09-16,4.046370946090784,989.1999999999998,0.234,36,0.7787883256736057
bitcoin,2023-10-28,3.907910779850231,1216.1600000000003,0.292,38,0.928828820793381
bitcoin,2023-12-23,3.781167677829866,1303.1999999999996,0.28,43,1.1402944005813938
bitcoin,2024-02-23,4.275357811105269,860.7199999999997,0.204,43,0.7977479030410056
bitcoin,2024-04-12,3.950515983847453,1334.8000000000004,0.318,51,1.193536616763463
bitcoin,2024-06-01,4.048479948583062,1144.7199999999996,0.274,40,0.882686992200114
bitcoin,2024-07-19,4.241034020248336,904.3999999999996,0.226,43,0.8215393418996179
bitcoin,2024-08-24,3.7028278259847904,1251.2799999999988,0.218,38,1.0709814920461145
bitcoin,2024-10-02,4.254343501663721,805.6799999999997,0.204,39,0.714675442817912
bitcoin,2024-11-22,4.1440231529238,896.6399999999996,0.218,38,0.7651681951021183
bitcoin,2025-01-23,4.293899179749091,867.1999999999994,0.198,50,0.9357188953764002
bitcoin,2025-03-16,4.206420625460815,955.7599999999992,0.22,51,1.016157035936958
bitcoin,2025-05-03,4.0235930258681405,1037.6799999999998,0.202,46,1.039699234887934
bitcoin,2025-06-13,4.083977487167029,996.5599999999996,0.204,41,0.8827745860041917
bitcoin,2025-07-28,4.122104884903233,943.7599999999996,0.202,43,0.903974736750508
bitcoin,2025-09-20,4.137727476575276,1047.6000000000004,0.26,49,1.023766163797056
bitcoin,2025-11-14,3.600828631600641,1442.48,0.276,45,1.3107582760968055
bitcoin,2025-12-29,4.219824948067011,909.5199999999992,0.21,47,0.9251878365008918
bitcoin,2026-02-05,4.402375038656103,703.8399999999996,0.14,45,0.7551686439583604
bitcoin,2026-03-10,4.104723390567533,1018.9599999999992,0.232,47,1.0049701565597131
bitcoin,2026-04-22,4.384257628234684,863.4399999999995,0.218,53,0.9313560996928152
bitcoin,2026-06-07,4.356266562010445,766.9599999999992,0.182,47,0.8306137164849511
bitcoin_cash,2010-03-29,1.077788115141535,5959.360000000001,0.752,4,0.6392285678685181
bitcoin_cash,2010-12-13,2.625003441225428,2586.559999999999,0.436,18,1.0708580236506062
bitcoin_cash,2011-05-14,2.8611272431183186,1888.960000000001,0.324,19,0.96125669737573
bitcoin_cash,2011-06-28,2.3206673972220417,3461.7599999999998,0.556,18,1.28180769449432
bitcoin_cash,2011-08-05,2.8765378627288385,2220.4799999999973,0.396,25,1.2250117155437763
bitcoin_cash,2011-10-08,2.9350561244182622,2302.3999999999987,0.412,25,1.1844499474424832
bitcoin_cash,2011-12-30,2.4225714968499035,3020.1599999999985,0.508,18,1.2111731551497684
bitcoin_cash,2012-03-11,2.6981367235544416,2006.0800000000008,0.276,15,0.8378443384052005
bitcoin_cash,2012-04-22,2.9064146002775506,1677.760000000001,0.248,17,0.8186402583355724
bitcoin_cash,2012-05-15,2.8352924163614834,1811.2,0.304,14,0.6737823851513027
bitcoin_cash,2012-06-17,3.514421734176452,1083.8400000000006,0.148,20,0.559720757210991
bitcoin_cash,2012-08-08,3.1576394853305594,1372.8000000000002,0.24,14,0.4503484231336249
bitcoin_cash,2012-09-26,2.887590698226691,1864.6400000000008,0.328,18,0.8888464068092107
bitcoin_cash,2012-11-24,3.057032038269712,1837.120000000001,0.34,23,1.0165210777210765
bitcoin_cash,2013-02-08,2.920867343919149,2049.2799999999997,0.38,21,1.0199314734962497
bitcoin_cash,2013-04-10,2.9765576294786817,1711.4400000000005,0.264,18,0.827179229248823
bitcoin_cash,2013-06-04,3.649019648263594,1178.1600000000014,0.218,30,0.8718897006604025
bitcoin_cash,2013-08-21,3.5158745675943583,1239.040000000001,0.256,25,0.7818572811377557
bitcoin_cash,2013-10-15,2.910768691354288,1866.240000000001,0.284,19,0.9268478674920552
bitcoin_cash,2013-11-23,2.6532684726388323,2934.959999999997,0.498,28,1.4930989490970068
bitcoin_cash,2014-01-07,2.217187637222028,4418.000000000002,0.654,24,1.641216470835132
bitcoin_cash,2014-02-17,2.819959099521953,3205.119999999996,0.544,37,1.6562712135162203
bitcoin_cash,2014-04-05,2.915701283842958,3479.359999999996,0.58,43,1.740189991442803
bitcoin_cash,2014-05-23,3.2337440310971517,2395.839999999998,0.466,33,1.2550470036589385
bitcoin_cash,2014-06-23,3.1172693963675844,2205.1999999999985,0.43,27,1.1351103728663363
bitcoin_cash,2014-07-17,2.990582570427303,2775.039999999998,0.506,31,1.36107332756175
bitcoin_cash,2014-08-17,2.9076666626112253,2389.2799999999997,0.446,24,1.16261288115083
bitcoin_cash,2014-09-14,2.853315909667172,2361.1999999999985,0.39,25,1.2411079468355652
bitcoin_cash,2014-10-11,3.065118781733593,1910.400000000001,0.348,24,1.0534753887079713
bitcoin_cash,2014-11-08,3.6321931990571086,1388.8800000000008,0.258,31,0.9163427293097036
bitcoin_cash,2014-11-29,3.051505162240737,1942.320000000001,0.304,24,1.062911630676661
bitcoin_cash,2014-12-25,2.9857023027464566,2401.9999999999977,0.448,26,1.188565404881441
bitcoin_cash,2015-02-03,3.0259144405864147,2161.0399999999977,0.406,29,1.2698917668783776
bitcoin_cash,2015-04-04,2.9958030300026084,2556.8799999999983,0.47,29,1.2907634062272255
bitcoin_cash,2015-05-15,3.0579448868213084,2187.3599999999983,0.424,25,1.099269948260311
bitcoin_cash,2015-06-19,2.860892931398336,2875.119999999997,0.498,33,1.5134876921838465
bitcoin_cash,2015-07-29,3.4040068329029727,2359.199999999997,0.464,41,1.3540943278708255
bitcoin_cash,2015-09-14,3.535235980717004,1785.5200000000018,0.382,36,1.1330800858080474
bitcoin_cash,2015-10-15,3.668231789312209,1722.0800000000013,0.384,35,1.0127235390872935
bitcoin_cash,2015-11-11,3.474352680015356,1494.800000000001,0.326,28,0.9239667457516708
bitcoin_cash,2015-12-02,3.384116664724337,1728.0799999999997,0.364,30,1.0555064568225565
bitcoin_cash,2016-01-26,3.4480144919258504,2165.6799999999976,0.434,55,1.6173516616242272
bitcoin_cash,2016-03-28,3.555821266857857,1837.6,0.39,43,1.296492629995945
bitcoin_cash,2016-05-21,3.729123899976593,1354.3999999999996,0.27,43,1.1763683984660789
bitcoin_cash,2016-07-10,3.922758110556333,1164.3199999999993,0.272,44,1.0651409095674795
bitcoin_cash,2016-09-06,3.874330469194757,1306.6399999999996,0.302,45,1.1211812484904815
bitcoin_cash,2016-10-24,3.9839935983552266,1271.44,0.308,47,1.088653671641261
bitcoin_cash,2016-12-06,4.194593012341975,849.0399999999997,0.202,41,0.80610174660302
bitcoin_cash,2017-01-12,4.044084948402878,784.0799999999996,0.154,31,0.6308411245547797
