ledger,date,clustering,exclude_contract_addresses,top_limit_type,top_limit_value,exclude_below_fees,exclude_below_usd_cent,hhi,shannon_entropy,gini,total_entities,tau=0.33,tau=0.5,tau=0.66,mpr,theil
bitcoin,2011-01-01,True,False,absolute,0,False,True,17.468811131251147,13.223969834198892,0.5425535890128091,65598,124,4575,20641,0.0179266799507083,1.9251430802831253
bitcoin,2011-02-01,True,False,absolute,0,False,True,42.38971495915039,12.889675410309026,0.5789644355590118,68994,98,2478,19369,0.0473619401245124,2.2073326542979252
bitcoin,2011-03-01,True,False,absolute,0,False,True,39.04290738804193,12.875034496516768,0.6393254479212804,78771,103,1152,18251,0.0449899224193417,2.3500063269063474
bitcoin,2011-04-01,True,False,absolute,0,False,True,30.8437518189371,13.017588172076938,0.6843281843383068,89148,144,947,17469,0.0430894158932624,2.374948649777126
bitcoin,2011-05-01,True,False,absolute,0,False,True,27.90259429501431,13.000613492437267,0.7216350851555242,99029,143,881,16302,0.033023463334165,2.49182942766051
bitcoin,2011-06-01,True,False,absolute,0,False,True,37.972642643601866,12.884896774179348,0.7998541479282203,132028,131,797,14153,0.0464552465743059,2.859639429448694
bitcoin,2011-07-01,True,False,absolute,0,False,True,53.640997049920905,12.883854313942363,0.8650043983263394,196720,138,795,12920,0.063262641123109,3.259129384419041
bitcoin,2011-08-01,True,False,absolute,0,False,True,43.15923268262247,13.03115411031532,0.9279926449094594,379752,156,890,12720,0.0553223917654561,3.8147659560587313
bitcoin,2011-09-01,True,False,absolute,0,False,True,16.208525404501916,13.1603701525962,0.874679686648906,218019,151,826,11946,0.0146289357765046,3.1702640275579013
bitcoin,2011-10-01,True,False,absolute,0,False,True,18.819082136459944,13.089347871133953,0.9488920897669968,533294,135,796,11220,0.0142310172896352,4.113983573578463
bitcoin,2011-11-01,True,False,absolute,0,False,True,18.34652530449368,13.12792657506366,0.9495913731533407,545881,142,831,10888,0.0138784254248061,4.110570990150415
bitcoin,2011-12-01,True,False,absolute,0,False,True,45.56515378239851,13.032260357302302,0.9511005878795836,552800,155,906,9630,0.0586038517134674,4.189477028545354
bitcoin,2012-01-01,True,False,absolute,0,False,True,11.450785484946556,13.632031879151226,0.9495552766491506,567532,285,1636,10356,0.0131914090534202,3.800047952087773
bitcoin,2012-02-01,True,False,absolute,0,False,True,12.012303629263249,13.60622531366345,0.9501849448115844,579818,268,1600,9910,0.0128116430697929,3.8393528259513263
bitcoin,2012-03-01,True,False,absolute,0,False,True,13.30382612227128,13.662155280903404,0.9502415151922936,597212,294,1725,10189,0.017617903929728,3.830143024840051
bitcoin,2012-04-01,True,False,absolute,0,False,True,15.9035371128808,13.690912167449328,0.9502513476982888,621024,305,1794,10723,0.0251996902502279,3.849307839344106
bitcoin,2012-05-01,True,False,absolute,0,False,True,20.953184702187137,13.571141098897222,0.9529215719963644,642677,271,1519,9708,0.0347153014994113,3.9665993545380487
bitcoin,2012-06-01,True,False,absolute,0,False,True,31.204549744575367,13.345218664566334,0.9575222168701444,669998,226,1198,8022,0.0475591364746639,4.164829315039424
bitcoin,2012-07-01,True,False,absolute,0,False,True,33.500419471601504,13.34810006348254,0.9179663215188694,344751,239,1224,7620,0.0503658678578451,3.498379771488301
bitcoin,2012-08-01,True,False,absolute,0,False,True,31.703444423107065,13.34384285497521,0.9639574846011396,766438,253,1203,6923,0.0486957031563865,4.30026203406515
bitcoin,2012-09-01,True,False,absolute,0,False,True,11.978699816377969,13.722264424606616,0.96417597355117,827734,344,1728,8095,0.0160047025934816,4.114898228965779
bitcoin,2012-10-01,True,False,absolute,0,False,True,7.07211299799053,14.021683036617414,0.9645251961196728,901800,447,2235,9484,0.0104923966721448,3.9930579814337257
bitcoin,2012-11-01,True,False,absolute,0,False,True,7.248700175703178,13.935910345832822,0.9297011470763048,446602,397,1979,8973,0.0102576182654992,3.3497861319420887
bitcoin,2012-12-01,True,False,absolute,0,False,True,7.559573629067099,13.963993047482411,0.9677695470404072,1017384,397,2015,9415,0.0105732606259336,4.153642774716734
bitcoin,2013-01-01,True,False,absolute,0,False,True,7.212357938952501,13.954049525424862,0.9711399079419608,1079449,419,2047,8350,0.0104683400559855,4.21975119759164
bitcoin,2013-02-01,True,False,absolute,0,False,True,7.010852217906717,13.952363482339075,0.9729949380604328,1160626,412,1950,8296,0.0103599143707953,4.293428662662256
bitcoin,2013-03-01,True,False,absolute,0,False,True,6.906887479748397,13.935223732002989,0.9753842076414416,1250972,418,1902,7882,0.0102486376957242,4.380270366981575
bitcoin,2013-04-01,True,False,absolute,0,False,True,7.344095908556403,13.936370480281512,0.975930848454301,1338305,395,1837,8238,0.0101239046177309,4.446958540316615
bitcoin,2013-05-01,True,False,absolute,0,False,True,7.789146836694311,14.024392579211424,0.9776111821527677,1591712,401,1944,9348,0.0100106419995581,4.559352549094627
bitcoin,2013-06-01,True,False,absolute,0,False,True,7.728074312978602,13.992656080257998,0.9791771885841728,1699738,393,1837,8434,0.0098996674925696,4.647014568934323
bitcoin,2013-07-01,True,False,absolute,0,False,True,7.867192992360275,13.962694505264874,0.980112429450671,1749171,392,1805,8059,0.0097861440351842,4.69645019005327
bitcoin,2013-08-01,True,False,absolute,0,False,True,7.971505871767045,13.946212175289787,0.980410594354864,1801248,380,1797,7783,0.0096718892302107,4.737212667325955
bitcoin,2013-09-01,True,False,absolute,0,False,True,7.364487814615539,14.001655643932688,0.9812289933180776,1898074,410,1878,7859,0.0095505758230924,4.751142112842141
bitcoin,2013-10-01,True,False,absolute,0,False,True,7.195297448675789,14.075420617537,0.9656442861337492,1087901,432,1984,8453,0.0094364770730512,4.143422593335652
bitcoin,2013-11-01,True,False,absolute,0,False,True,8.768687603587248,14.015981014751755,0.9814066078707384,2037086,396,1926,8716,0.01209899384089,4.811893190151746
bitcoin,2013-12-01,True,False,absolute,0,False,True,9.07578647301852,14.070169493835431,0.9814831672012768,2201891,380,2048,9465,0.0119672701120382,4.852128779615371
bitcoin,2014-01-01,True,False,absolute,0,False,True,8.560444900355046,14.10454414454269,0.9822399370677996,2381115,380,2079,9590,0.011831446583645,4.9065544163459265
bitcoin,2014-02-01,True,False,absolute,0,False,True,8.577033137428444,14.129491192213608,0.975531619142118,1821773,373,2062,9954,0.0117020364843519,4.621503778086724
bitcoin,2014-03-01,True,False,absolute,0,False,True,8.55292026864012,14.186118778319178,0.9822017823847036,2642466,379,2140,10549,0.011587145576334,4.954154895835938
bitcoin,2014-04-01,True,False,absolute,0,False,True,7.43532147876703,14.385869938912208,0.9819374978638956,2789173,502,2528,12369,0.0114694599427039,4.869730505757591
bitcoin,2014-05-01,True,False,absolute,0,False,True,7.305233593740953,14.412179987558766,0.9819804147969868,2880991,506,2525,12617,0.0113564135485282,4.883882965901736
bitcoin,2014-06-01,True,False,absolute,0,False,True,8.917105993225915,14.3892878753986,0.9820757754438364,2967733,494,2530,12923,0.0140616917434544,4.929414598485701
bitcoin,2014-07-01,True,False,absolute,0,False,True,8.267547886448384,14.42709477610206,0.9823465502913404,3071535,505,2578,13151,0.0119173191447811,4.937587926976683
bitcoin,2014-08-01,True,False,absolute,0,False,True,8.121750370058555,14.444110804888904,0.977340315528102,2426514,508,2606,13241,0.0115802397564907,4.6900715372588815
bitcoin,2014-09-01,True,False,absolute,0,False,True,8.762370421053378,14.417417825249878,0.9835633320675802,3367014,498,2613,13064,0.0112408069656786,5.036144339200074
bitcoin,2014-10-01,True,False,absolute,0,False,True,8.844796046440038,14.416963265854925,0.9840095495528705,3502061,494,2595,12993,0.0111409146004532,5.075784770227468
bitcoin,2014-11-01,True,False,absolute,0,False,True,8.564344259044073,14.443535632113107,0.9842599059770188,3691944,488,2627,13399,0.0107350800284462,5.110167705651855
bitcoin,2014-12-01,True,False,absolute,0,False,True,9.62609088858854,14.414772492586758,0.9845685971177516,3818092,482,2605,13304,0.0128497647631235,5.163702467731866
bitcoin,2015-01-01,True,False,absolute,0,False,True,8.993387934589483,14.408851710928984,0.9849015987361128,3963746,461,2549,13345,0.0098157851176063,5.205245157496503
bitcoin,2015-02-01,True,False,absolute,0,False,True,9.599311054677308,14.429315059085924,0.9853594735765066,4184561,467,2612,13497,0.0130647517530394,5.2452733075754105
bitcoin,2015-03-01,True,False,absolute,0,False,True,9.337868947486037,14.456209110093017,0.9858245521334704,4406079,474,2663,13752,0.0124904253764206,5.278215149661171
bitcoin,2015-04-01,True,False,absolute,0,False,True,8.87434140705144,14.541377519139967,0.9858533496174468,4538213,542,2875,14186,0.0119834675587398,5.248729051285201
bitcoin,2015-05-01,True,False,absolute,0,False,True,9.022062266930186,14.541870585865174,0.9860646774587576,4744439,520,2861,14403,0.0118931310110178,5.29282715654931
bitcoin,2015-06-01,True,False,absolute,0,False,True,9.084709812112491,14.555488288563712,0.986449398649397,4987471,524,2908,14593,0.0117997672193186,5.33334385702968
