ledger,date,no_clustering,exclude_contract_addresses,top_limit_type,top_limit_value,exclude_below_fees,exclude_below_usd_cent,hhi,shannon_entropy,gini,total_entities,tau=0.33,tau=0.5,tau=0.66,mpr,theil
bitcoin,2011-01-01,True,False,absolute,1000,False,False,82.52024792605303,8.113851784129583,0.7526841482223972,1000,22,50,96,0.0390531119405294,1.2836617913314237
bitcoin,2011-02-01,True,False,absolute,1000,False,False,183.6231297436034,7.727725491575451,0.7754997059530834,1000,13,41,88,0.0986671771451493,1.5513041423553475
bitcoin,2011-03-01,True,False,absolute,1000,False,False,158.96576544152398,7.917497411633599,0.7479806934715856,1000,15,47,101,0.0908780121057346,1.4197642710176244
bitcoin,2011-04-01,True,False,absolute,1000,False,False,122.12627246144562,8.288813107472869,0.692861654351744,1000,22,68,147,0.0858525959594176,1.162387843349013
bitcoin,2011-05-01,True,False,absolute,1000,False,False,108.2517161040219,8.329331870814695,0.6789708922917719,1000,20,67,150,0.0651211588728346,1.1343023767788445
bitcoin,2011-06-01,True,False,absolute,1000,False,False,143.5179390503919,8.206589517738117,0.684164879711371,1000,17,62,143,0.0903936883709541,1.2193808927491072
bitcoin,2011-07-01,True,False,absolute,1000,False,False,201.8847691292913,8.13741395168901,0.6721824028876505,1000,16,63,152,0.1228089627938155,1.2673297413197495
bitcoin,2011-08-01,True,False,absolute,1000,False,False,167.4819827958648,8.266136766736217,0.6578696497801099,1000,18,69,163,0.1090726057245357,1.1781058849960353
bitcoin,2011-09-01,True,False,absolute,1000,False,False,61.478463757180066,8.5712133081358,0.6523407949734966,1000,24,74,164,0.0285534346611946,0.966642940469953
bitcoin,2011-10-01,True,False,absolute,1000,False,False,70.86579370356239,8.45059161064754,0.668743501727535,1000,22,63,150,0.0276672030441338,1.0502515299982875
bitcoin,2011-11-01,True,False,absolute,1000,False,False,69.598807754237,8.487365443728553,0.6588565626881824,1000,22,65,156,0.0270831720388006,1.0247618512797687
bitcoin,2011-12-01,True,False,absolute,1000,False,False,177.018869888357,8.269817704343984,0.6476764864127286,1000,18,66,163,0.115608258981799,1.175554453471363
bitcoin,2012-01-01,True,False,absolute,1000,False,False,55.264277145506135,8.81603383438647,0.5857965878897822,1000,33,96,213,0.029118064118343,0.7969462829560524
bitcoin,2012-02-01,True,False,absolute,1000,False,False,56.69652537596296,8.783522021307796,0.592287314198653,1000,31,93,208,0.0280249674146036,0.8194817545264045
bitcoin,2012-03-01,True,False,absolute,1000,False,False,65.5608044771045,8.748511369884723,0.5859515809935525,1000,28,93,212,0.0393224216910202,0.843749288849958
bitcoin,2012-04-01,True,False,absolute,1000,False,False,79.70354777050854,8.687942992671,0.5871932402165294,1000,26,90,213,0.0566016950668483,0.8857320887466853
bitcoin,2012-05-01,True,False,absolute,1000,False,False,98.47214393778576,8.647371252667686,0.5889531621052814,1000,26,92,212,0.0754451455899811,0.9138542759403662
